log_Pi3,log_Lmax_norm
-2.200,-2.111
-2.163,-1.893
-2.126,-1.735
-2.089,-1.823
-2.052,-1.747
-2.015,-1.920
-1.978,-1.731
-1.941,-1.717
-1.904,-1.519
-1.867,-1.583
-1.830,-1.573
-1.793,-1.630
-1.756,-1.610
-1.719,-1.474
-1.682,-1.276
-1.645,-1.646
-1.608,-1.727
-1.571,-1.093
-1.534,-1.107
-1.497,-1.194
-1.461,-1.197
-1.424,-1.261
-1.387,-1.222
-1.350,-1.295
-1.313,-1.036
-1.276,-1.105
-1.239,-1.291
-1.202,-1.079
-1.165,-1.051
-1.128,-1.031
-1.091,-0.672
-1.054,-0.747
-1.017,-1.251
-0.980,-0.757
-0.943,-0.652
-0.906,-0.587
-0.869,-0.620
-0.832,-0.941
-0.795,-0.545
-0.758,-0.614
-0.721,-0.405
-0.684,-0.498
-0.647,-0.715
-0.610,-0.256
-0.573,-0.611
-0.536,-0.285
-0.499,-0.339
-0.462,-0.432
-0.425,-0.617
-0.388,-0.407
-0.351,-0.381
-0.314,-0.256
-0.277,-0.227
-0.240,0.038
-0.203,-0.081
-0.166,0.046
-0.129,-0.217
-0.092,-0.093
-0.055,0.112
-0.018,0.152
0.018,0.147
0.055,0.036
0.092,-0.008
0.129,0.382
0.166,0.102
0.203,0.174
0.240,0.452
0.277,0.296
0.314,0.239
0.351,0.459
0.388,0.358
0.425,0.582
0.462,0.433
0.499,0.377
0.536,0.826
0.573,0.705
0.610,0.598
0.647,0.596
0.684,0.474
0.721,0.603
0.758,0.547
0.795,0.851
0.832,0.927
0.869,0.765
0.906,0.776
0.943,0.920
0.980,0.902
1.017,1.003
1.054,1.031
1.091,1.053
1.128,1.114
1.165,0.940
1.202,1.189
1.239,0.876
1.276,1.177
1.313,1.160
1.350,1.275
1.387,1.236
1.424,1.323
1.461,1.098
1.497,1.291
1.534,1.288
1.571,1.468
1.608,1.478
1.645,1.430
1.682,1.453
1.719,1.461
1.756,1.567
1.793,1.670
1.830,1.737
1.867,1.661
1.904,1.579
1.941,1.640
1.978,1.867
2.015,1.677
2.052,1.798
2.089,1.583
2.126,2.017
2.163,1.944
2.200,1.889
