v_poly_um_per_s,L_max_um
0.2078,19.384
0.0620,15.364
0.3308,20.286
0.3143,20.747
0.0417,11.938
0.0726,14.175
0.2662,19.733
0.1495,15.777
0.3839,23.618
0.2501,18.324
0.5862,27.874
0.1880,18.451
0.1037,16.098
0.4934,24.379
0.1248,13.783
0.2360,17.567
0.3377,21.302
0.1395,16.431
0.4146,20.918
0.3596,21.804
0.2828,18.825
0.4254,25.057
0.1616,15.100
0.5276,23.099
0.4431,21.586
0.0885,18.898
0.2625,19.313
0.3036,19.204
0.0427,11.211
0.3524,18.689
0.5278,23.021
0.3647,23.558
0.3563,18.185
0.5679,25.411
0.2950,19.658
0.4269,21.888
0.3953,24.802
0.1851,17.335
0.2438,18.695
0.2878,19.504
0.1175,15.954
0.4656,23.386
0.0950,14.805
0.5254,25.540
0.0667,11.765
0.5324,24.686
0.4952,24.330
0.2609,18.262
0.2281,21.512
0.1075,12.537
0.1222,15.823
0.3013,21.234
0.3617,21.219
0.2630,19.427
0.2342,15.027
0.4205,20.663
0.3190,18.649
0.0513,11.366
0.5417,24.803
0.4828,20.084
0.2476,18.344
0.3879,22.145
0.0561,14.209
0.1141,15.882
0.2172,18.286
0.1077,15.232
0.0788,13.940
0.5271,24.247
0.3762,22.219
0.2215,19.334
0.2312,20.808
0.5960,27.154
0.2903,19.178
0.0793,14.263
0.2187,18.011
0.1136,18.410
0.0334,13.889
0.1050,14.535
0.3350,22.667
0.5875,25.195
0.5207,23.463
0.2327,17.438
0.1169,15.793
0.4719,21.158
0.2112,18.603
0.5913,27.798
0.5145,24.801
0.4491,19.970
0.1515,15.073
0.0368,12.055
0.0362,11.958
0.4217,23.504
0.5748,21.122
0.5931,26.167
0.5739,23.922
0.1516,17.414
0.1341,16.689
0.5422,26.346
0.5075,21.363
0.4838,23.602
0.0692,11.917
0.4737,20.172
0.4551,21.847
0.4777,23.344
0.2129,19.491
0.2496,14.935
0.2528,21.489
0.1186,14.733
0.0937,16.753
0.4878,26.187
0.1048,17.195
0.4012,17.959
0.2232,17.586
0.0283,11.443
0.5831,23.646
0.5615,22.905
0.2716,21.538
0.1424,14.143
0.1661,16.649
0.3601,22.346
0.1704,16.342
0.5478,24.696
0.2252,16.396
0.5445,24.784
0.2640,20.945
0.3285,19.675
0.3236,22.227
0.1262,16.018
0.0223,11.583
0.2946,19.004
0.4406,21.271
0.3206,19.964
0.3422,21.031
0.3450,20.181
0.1641,16.449
0.3145,23.050
0.3458,21.159
0.2771,16.056
0.3753,19.561
0.4218,22.221
0.2824,17.906
0.5661,24.173
0.4255,25.079
0.1706,14.411
0.3445,23.784
0.0995,13.872
0.0905,14.039
0.1596,17.009
0.0624,12.139
0.5403,21.721
0.1096,14.786
0.1029,12.760
0.5320,25.150
0.5725,24.417
0.2510,14.188
0.5028,23.988
0.1137,13.666
0.2167,19.044
0.1335,14.970
0.0313,14.219
0.3413,20.569
0.2123,18.248
0.3819,21.014
0.5913,24.873
0.4773,23.939
0.1740,17.044
0.0430,12.790
0.0951,13.536
0.2649,21.835
0.1700,15.508
0.1066,17.002
0.4262,21.351
0.0719,16.184
0.2667,20.225
0.0620,15.580
0.4849,22.463
0.0686,14.129
0.5204,23.404
0.2832,18.629
0.5575,26.146
0.1754,18.560
0.1583,18.173
0.0835,14.628
0.1370,16.581
0.2010,16.947
0.1882,20.085
0.3101,20.897
0.0305,13.172
0.1653,19.532
0.3396,21.071
0.1299,12.238
0.0816,14.876
0.4950,21.775
0.5041,24.393
0.2480,16.517
0.5898,24.793
0.2188,19.529
0.3889,19.540
0.2547,18.796
0.0953,15.229
