cell_id,animal_id,sex,genotype,sex_geno,cv_velocity
c0001,F_W_1,Female,WT,F_WT,0.414
c0002,F_W_1,Female,WT,F_WT,0.448
c0003,F_W_1,Female,WT,F_WT,0.365
c0004,F_W_1,Female,WT,F_WT,0.320
c0005,F_W_1,Female,WT,F_WT,0.389
c0006,F_W_1,Female,WT,F_WT,0.419
c0007,F_W_1,Female,WT,F_WT,0.453
c0008,F_W_1,Female,WT,F_WT,0.326
c0009,F_W_2,Female,WT,F_WT,0.430
c0010,F_W_2,Female,WT,F_WT,0.418
c0011,F_W_2,Female,WT,F_WT,0.476
c0012,F_W_2,Female,WT,F_WT,0.446
c0013,F_W_2,Female,WT,F_WT,0.386
c0014,F_W_2,Female,WT,F_WT,0.376
c0015,F_W_2,Female,WT,F_WT,0.533
c0016,F_W_2,Female,WT,F_WT,0.376
c0017,F_W_3,Female,WT,F_WT,0.340
c0018,F_W_3,Female,WT,F_WT,0.408
c0019,F_W_3,Female,WT,F_WT,0.411
c0020,F_W_3,Female,WT,F_WT,0.384
c0021,F_W_3,Female,WT,F_WT,0.399
c0022,F_W_3,Female,WT,F_WT,0.418
c0023,F_W_3,Female,WT,F_WT,0.441
c0024,F_W_3,Female,WT,F_WT,0.463
c0025,F_K_1,Female,Cdc42 KO,F_KO,0.456
c0026,F_K_1,Female,Cdc42 KO,F_KO,0.593
c0027,F_K_1,Female,Cdc42 KO,F_KO,0.477
c0028,F_K_1,Female,Cdc42 KO,F_KO,0.545
c0029,F_K_1,Female,Cdc42 KO,F_KO,0.474
c0030,F_K_1,Female,Cdc42 KO,F_KO,0.555
c0031,F_K_1,Female,Cdc42 KO,F_KO,0.512
c0032,F_K_1,Female,Cdc42 KO,F_KO,0.566
c0033,F_K_2,Female,Cdc42 KO,F_KO,0.620
c0034,F_K_2,Female,Cdc42 KO,F_KO,0.669
c0035,F_K_2,Female,Cdc42 KO,F_KO,0.550
c0036,F_K_2,Female,Cdc42 KO,F_KO,0.607
c0037,F_K_2,Female,Cdc42 KO,F_KO,0.659
c0038,F_K_2,Female,Cdc42 KO,F_KO,0.618
c0039,F_K_2,Female,Cdc42 KO,F_KO,0.643
c0040,F_K_2,Female,Cdc42 KO,F_KO,0.628
c0041,F_K_3,Female,Cdc42 KO,F_KO,0.559
c0042,F_K_3,Female,Cdc42 KO,F_KO,0.483
c0043,F_K_3,Female,Cdc42 KO,F_KO,0.631
c0044,F_K_3,Female,Cdc42 KO,F_KO,0.500
c0045,F_K_3,Female,Cdc42 KO,F_KO,0.566
c0046,F_K_3,Female,Cdc42 KO,F_KO,0.528
c0047,F_K_3,Female,Cdc42 KO,F_KO,0.580
c0048,F_K_3,Female,Cdc42 KO,F_KO,0.495
c0049,M_W_1,Male,WT,M_WT,0.475
c0050,M_W_1,Male,WT,M_WT,0.551
c0051,M_W_1,Male,WT,M_WT,0.516
c0052,M_W_1,Male,WT,M_WT,0.490
c0053,M_W_1,Male,WT,M_WT,0.439
c0054,M_W_1,Male,WT,M_WT,0.524
c0055,M_W_1,Male,WT,M_WT,0.508
c0056,M_W_1,Male,WT,M_WT,0.572
c0057,M_W_2,Male,WT,M_WT,0.482
c0058,M_W_2,Male,WT,M_WT,0.480
c0059,M_W_2,Male,WT,M_WT,0.467
c0060,M_W_2,Male,WT,M_WT,0.463
c0061,M_W_2,Male,WT,M_WT,0.462
c0062,M_W_2,Male,WT,M_WT,0.419
c0063,M_W_2,Male,WT,M_WT,0.396
c0064,M_W_2,Male,WT,M_WT,0.430
c0065,M_W_3,Male,WT,M_WT,0.556
c0066,M_W_3,Male,WT,M_WT,0.527
c0067,M_W_3,Male,WT,M_WT,0.531
c0068,M_W_3,Male,WT,M_WT,0.516
c0069,M_W_3,Male,WT,M_WT,0.511
c0070,M_W_3,Male,WT,M_WT,0.483
c0071,M_W_3,Male,WT,M_WT,0.515
c0072,M_W_3,Male,WT,M_WT,0.571
c0073,M_K_1,Male,Cdc42 KO,M_KO,0.285
c0074,M_K_1,Male,Cdc42 KO,M_KO,0.431
c0075,M_K_1,Male,Cdc42 KO,M_KO,0.336
c0076,M_K_1,Male,Cdc42 KO,M_KO,0.376
c0077,M_K_1,Male,Cdc42 KO,M_KO,0.371
c0078,M_K_1,Male,Cdc42 KO,M_KO,0.260
c0079,M_K_1,Male,Cdc42 KO,M_KO,0.457
c0080,M_K_1,Male,Cdc42 KO,M_KO,0.420
c0081,M_K_2,Male,Cdc42 KO,M_KO,0.375
c0082,M_K_2,Male,Cdc42 KO,M_KO,0.341
c0083,M_K_2,Male,Cdc42 KO,M_KO,0.285
c0084,M_K_2,Male,Cdc42 KO,M_KO,0.328
c0085,M_K_2,Male,Cdc42 KO,M_KO,0.354
c0086,M_K_2,Male,Cdc42 KO,M_KO,0.395
c0087,M_K_2,Male,Cdc42 KO,M_KO,0.373
c0088,M_K_2,Male,Cdc42 KO,M_KO,0.337
c0089,M_K_3,Male,Cdc42 KO,M_KO,0.318
c0090,M_K_3,Male,Cdc42 KO,M_KO,0.403
c0091,M_K_3,Male,Cdc42 KO,M_KO,0.421
c0092,M_K_3,Male,Cdc42 KO,M_KO,0.344
c0093,M_K_3,Male,Cdc42 KO,M_KO,0.261
c0094,M_K_3,Male,Cdc42 KO,M_KO,0.310
c0095,M_K_3,Male,Cdc42 KO,M_KO,0.373
c0096,M_K_3,Male,Cdc42 KO,M_KO,0.389
