ROCK_inhibition,RhoA_GTP_ss,branch
0.000,0.1500,home
0.000,0.5000,saddle_HG
0.009,0.1501,home
0.009,0.4999,saddle_HG
0.018,0.1503,home
0.018,0.4997,saddle_HG
0.028,0.1506,home
0.028,0.4993,saddle_HG
0.037,0.1511,home
0.037,0.4988,saddle_HG
0.046,0.1518,home
0.046,0.4981,saddle_HG
0.055,0.1525,home
0.055,0.4973,saddle_HG
0.064,0.1535,home
0.064,0.4963,saddle_HG
0.073,0.1545,home
0.073,0.4952,saddle_HG
0.083,0.1557,home
0.083,0.4939,saddle_HG
0.092,0.1571,home
0.092,0.4925,saddle_HG
0.101,0.1586,home
0.101,0.4909,saddle_HG
0.110,0.1602,home
0.110,0.4892,saddle_HG
0.119,0.1620,home
0.119,0.4873,saddle_HG
0.129,0.1639,home
0.129,0.4853,saddle_HG
0.138,0.1659,home
0.138,0.4831,saddle_HG
0.147,0.1681,home
0.147,0.4808,saddle_HG
0.156,0.1705,home
0.156,0.4783,saddle_HG
0.165,0.1729,home
0.165,0.4757,saddle_HG
0.174,0.1756,home
0.174,0.4729,saddle_HG
0.184,0.1783,home
0.184,0.4700,saddle_HG
0.193,0.1812,home
0.193,0.4669,saddle_HG
0.202,0.1843,home
0.202,0.4637,saddle_HG
0.211,0.1875,home
0.211,0.4603,saddle_HG
0.220,0.1908,home
0.220,0.4568,saddle_HG
0.230,0.1943,home
0.230,0.4531,saddle_HG
0.239,0.1979,home
0.239,0.4493,saddle_HG
0.248,0.2016,home
0.248,0.4453,saddle_HG
0.257,0.2055,home
0.257,0.4412,saddle_HG
0.266,0.2095,home
0.266,0.4370,saddle_HG
0.276,0.2137,home
0.276,0.4325,saddle_HG
0.285,0.2180,home
0.285,0.4280,saddle_HG
0.294,0.2225,home
0.294,0.4232,saddle_HG
0.303,0.2271,home
0.303,0.4184,saddle_HG
0.312,0.2318,home
0.312,0.4133,saddle_HG
0.321,0.2367,home
0.321,0.4082,saddle_HG
0.331,0.2418,home
0.331,0.4028,saddle_HG
0.340,0.2469,home
0.340,0.3974,saddle_HG
0.349,0.2522,home
0.349,0.3917,saddle_HG
0.358,0.2577,home
0.358,0.3860,saddle_HG
0.367,0.2633,home
0.367,0.3800,saddle_HG
0.377,0.2690,home
0.377,0.3740,saddle_HG
0.386,0.2749,home
0.386,0.3678,saddle_HG
0.395,0.2809,home
0.395,0.3614,saddle_HG
0.404,0.2871,home
0.404,0.3549,saddle_HG
0.413,0.2934,home
0.413,0.3482,saddle_HG
0.422,0.2998,home
0.422,0.3414,saddle_HG
0.432,0.3064,home
0.432,0.3344,saddle_HG
0.441,0.3131,home
0.441,0.3273,saddle_HG
0.450,0.3200,home
0.450,0.3200,saddle_HG
0.000,0.9500,gate
0.000,1.6000,saddle_GT
0.000,2.2500,trap
0.013,0.9510,gate
0.013,1.5995,saddle_GT
0.013,2.2500,trap
0.025,0.9520,gate
0.025,1.5990,saddle_GT
0.025,2.2500,trap
0.038,0.9530,gate
0.038,1.5985,saddle_GT
0.038,2.2500,trap
0.051,0.9541,gate
0.051,1.5980,saddle_GT
0.051,2.2500,trap
0.063,0.9551,gate
0.063,1.5975,saddle_GT
0.063,2.2500,trap
0.076,0.9561,gate
0.076,1.5970,saddle_GT
0.076,2.2500,trap
0.089,0.9571,gate
0.089,1.5965,saddle_GT
0.089,2.2500,trap
0.101,0.9581,gate
0.101,1.5959,saddle_GT
0.101,2.2500,trap
0.114,0.9591,gate
0.114,1.5954,saddle_GT
0.114,2.2500,trap
0.127,0.9601,gate
0.127,1.5949,saddle_GT
0.127,2.2500,trap
0.139,0.9611,gate
0.139,1.5944,saddle_GT
0.139,2.2500,trap
0.152,0.9622,gate
0.152,1.5939,saddle_GT
0.152,2.2500,trap
0.165,0.9632,gate
0.165,1.5934,saddle_GT
0.165,2.2500,trap
0.177,0.9642,gate
0.177,1.5929,saddle_GT
0.177,2.2500,trap
0.190,0.9652,gate
0.190,1.5924,saddle_GT
0.190,2.2500,trap
0.203,0.9662,gate
0.203,1.5919,saddle_GT
0.203,2.2500,trap
0.215,0.9672,gate
0.215,1.5914,saddle_GT
0.215,2.2500,trap
0.228,0.9682,gate
0.228,1.5909,saddle_GT
0.228,2.2500,trap
0.241,0.9692,gate
0.241,1.5904,saddle_GT
0.241,2.2500,trap
0.253,0.9703,gate
0.253,1.5899,saddle_GT
0.253,2.2500,trap
0.266,0.9713,gate
0.266,1.5894,saddle_GT
0.266,2.2500,trap
0.278,0.9723,gate
0.278,1.5889,saddle_GT
0.278,2.2500,trap
0.291,0.9733,gate
0.291,1.5884,saddle_GT
0.291,2.2500,trap
0.304,0.9743,gate
0.304,1.5878,saddle_GT
0.304,2.2500,trap
0.316,0.9753,gate
0.316,1.5873,saddle_GT
0.316,2.2500,trap
0.329,0.9763,gate
0.329,1.5868,saddle_GT
0.329,2.2500,trap
0.342,0.9773,gate
0.342,1.5863,saddle_GT
0.342,2.2500,trap
0.354,0.9784,gate
0.354,1.5858,saddle_GT
0.354,2.2500,trap
0.367,0.9794,gate
0.367,1.5853,saddle_GT
0.367,2.2500,trap
0.380,0.9804,gate
0.380,1.5848,saddle_GT
0.380,2.2500,trap
0.392,0.9814,gate
0.392,1.5843,saddle_GT
0.392,2.2500,trap
0.405,0.9824,gate
0.405,1.5838,saddle_GT
0.405,2.2500,trap
0.418,0.9834,gate
0.418,1.5833,saddle_GT
0.418,2.2500,trap
0.430,0.9844,gate
0.430,1.5828,saddle_GT
0.430,2.2500,trap
0.443,0.9854,gate
0.443,1.5823,saddle_GT
0.443,2.2500,trap
0.456,0.9865,gate
0.456,1.5818,saddle_GT
0.456,2.2500,trap
0.468,0.9875,gate
0.468,1.5813,saddle_GT
0.468,2.2500,trap
0.481,0.9885,gate
0.481,1.5808,saddle_GT
0.481,2.2500,trap
0.494,0.9895,gate
0.494,1.5803,saddle_GT
0.494,2.2500,trap
0.506,0.9905,gate
0.506,1.5797,saddle_GT
0.506,2.2500,trap
0.519,0.9915,gate
0.519,1.5792,saddle_GT
0.519,2.2500,trap
0.532,0.9925,gate
0.532,1.5787,saddle_GT
0.532,2.2500,trap
0.544,0.9935,gate
0.544,1.5782,saddle_GT
0.544,2.2500,trap
0.557,0.9946,gate
0.557,1.5777,saddle_GT
0.557,2.2500,trap
0.570,0.9956,gate
0.570,1.5772,saddle_GT
0.570,2.2500,trap
0.582,0.9966,gate
0.582,1.5767,saddle_GT
0.582,2.2500,trap
0.595,0.9976,gate
0.595,1.5762,saddle_GT
0.595,2.2500,trap
0.608,0.9986,gate
0.608,1.5757,saddle_GT
0.608,2.2500,trap
0.620,0.9996,gate
0.620,1.5752,saddle_GT
0.620,2.2500,trap
0.633,1.0006,gate
0.633,1.5747,saddle_GT
0.633,2.2500,trap
0.646,1.0016,gate
0.646,1.5742,saddle_GT
0.646,2.2500,trap
0.658,1.0027,gate
0.658,1.5737,saddle_GT
0.658,2.2500,trap
0.671,1.0037,gate
0.671,1.5732,saddle_GT
0.671,2.2500,trap
0.684,1.0047,gate
0.684,1.5727,saddle_GT
0.684,2.2500,trap
0.696,1.0057,gate
0.696,1.5722,saddle_GT
0.696,2.2500,trap
0.709,1.0067,gate
0.709,1.5716,saddle_GT
0.709,2.2500,trap
0.722,1.0077,gate
0.722,1.5711,saddle_GT
0.722,2.2500,trap
0.734,1.0087,gate
0.734,1.5706,saddle_GT
0.734,2.2500,trap
0.747,1.0097,gate
0.747,1.5701,saddle_GT
0.747,2.2500,trap
0.759,1.0108,gate
0.759,1.5696,saddle_GT
0.759,2.2500,trap
0.772,1.0118,gate
0.772,1.5691,saddle_GT
0.772,2.2500,trap
0.785,1.0128,gate
0.785,1.5686,saddle_GT
0.785,2.2500,trap
0.797,1.0138,gate
0.797,1.5681,saddle_GT
0.797,2.2500,trap
0.810,1.0148,gate
0.810,1.5676,saddle_GT
0.810,2.2500,trap
0.823,1.0158,gate
0.823,1.5671,saddle_GT
0.823,2.2500,trap
0.835,1.0168,gate
0.835,1.5666,saddle_GT
0.835,2.2500,trap
0.848,1.0178,gate
0.848,1.5661,saddle_GT
0.848,2.2500,trap
0.861,1.0189,gate
0.861,1.5656,saddle_GT
0.861,2.2500,trap
0.873,1.0199,gate
0.873,1.5651,saddle_GT
0.873,2.2500,trap
0.886,1.0209,gate
0.886,1.5646,saddle_GT
0.886,2.2500,trap
0.899,1.0219,gate
0.899,1.5641,saddle_GT
0.899,2.2500,trap
0.911,1.0229,gate
0.911,1.5635,saddle_GT
0.911,2.2500,trap
0.924,1.0239,gate
0.924,1.5630,saddle_GT
0.924,2.2500,trap
0.937,1.0249,gate
0.937,1.5625,saddle_GT
0.937,2.2500,trap
0.949,1.0259,gate
0.949,1.5620,saddle_GT
0.949,2.2500,trap
0.962,1.0270,gate
0.962,1.5615,saddle_GT
0.962,2.2500,trap
0.975,1.0280,gate
0.975,1.5610,saddle_GT
0.975,2.2500,trap
0.987,1.0290,gate
0.987,1.5605,saddle_GT
0.987,2.2500,trap
1.000,1.0300,gate
1.000,1.5600,saddle_GT
1.000,2.2500,trap
