run_id,state,log10_dwell_s
1,HOME,3.427
2,HOME,2.706
3,HOME,3.022
4,HOME,2.893
5,HOME,2.757
6,HOME,2.824
7,HOME,2.836
8,HOME,2.928
9,HOME,3.035
10,HOME,3.173
11,HOME,2.994
12,HOME,3.188
13,HOME,3.042
14,HOME,2.964
15,HOME,2.893
16,HOME,2.727
17,HOME,2.593
18,HOME,2.922
19,HOME,2.902
20,HOME,3.009
21,HOME,3.011
22,HOME,2.663
23,HOME,2.782
24,HOME,2.693
25,HOME,3.155
26,HOME,2.912
27,HOME,2.963
28,HOME,2.739
29,HOME,2.659
30,HOME,2.809
31,HOME,2.913
32,HOME,3.036
33,HOME,2.605
34,HOME,3.007
35,HOME,2.748
36,HOME,2.821
37,HOME,2.863
38,HOME,2.841
39,HOME,3.034
40,HOME,3.125
41,HOME,3.008
42,HOME,2.817
43,HOME,3.025
44,HOME,3.016
45,HOME,3.121
46,HOME,2.993
47,HOME,2.584
48,HOME,2.770
49,HOME,2.847
50,HOME,3.135
51,HOME,2.905
52,HOME,3.132
53,HOME,2.998
54,HOME,2.677
55,HOME,2.944
56,HOME,3.055
57,HOME,3.023
58,HOME,2.613
59,HOME,3.027
60,HOME,2.807
61,GATE,0.898
62,GATE,1.323
63,GATE,0.936
64,GATE,1.129
65,GATE,1.878
66,GATE,2.160
67,GATE,1.773
68,GATE,1.600
69,GATE,2.004
70,GATE,1.575
71,GATE,1.210
72,GATE,0.803
73,GATE,1.731
74,GATE,0.858
75,GATE,0.690
76,GATE,1.300
77,GATE,1.498
78,GATE,1.242
79,GATE,1.769
80,GATE,1.456
81,GATE,1.539
82,GATE,1.604
83,GATE,1.319
84,GATE,1.539
85,GATE,2.127
86,GATE,1.222
87,GATE,1.528
88,GATE,1.628
89,GATE,1.332
90,GATE,1.469
91,GATE,1.007
92,GATE,1.361
93,GATE,1.494
94,GATE,1.793
95,GATE,1.747
96,GATE,1.323
97,GATE,1.175
98,GATE,1.994
99,GATE,1.732
100,GATE,0.952
101,GATE,1.390
102,GATE,1.233
103,GATE,1.315
104,GATE,1.006
105,GATE,1.368
106,GATE,1.341
107,GATE,1.419
108,GATE,1.776
109,GATE,1.548
110,GATE,1.146
111,GATE,1.001
112,GATE,1.338
113,GATE,1.807
114,GATE,1.749
115,GATE,1.322
116,GATE,1.811
117,GATE,1.608
118,GATE,1.318
119,GATE,1.608
120,GATE,1.466
121,TRAP,3.892
122,TRAP,4.015
123,TRAP,4.122
124,TRAP,4.330
125,TRAP,3.907
126,TRAP,4.136
127,TRAP,4.097
128,TRAP,4.084
129,TRAP,3.874
130,TRAP,4.320
131,TRAP,4.327
132,TRAP,4.381
133,TRAP,4.178
134,TRAP,4.361
135,TRAP,4.191
136,TRAP,4.274
137,TRAP,4.034
138,TRAP,4.135
139,TRAP,4.036
140,TRAP,3.904
141,TRAP,4.016
142,TRAP,3.892
143,TRAP,3.893
144,TRAP,4.024
145,TRAP,3.986
146,TRAP,4.468
147,TRAP,4.415
148,TRAP,4.290
149,TRAP,4.238
150,TRAP,3.940
151,TRAP,4.145
152,TRAP,3.835
153,TRAP,3.982
154,TRAP,4.008
155,TRAP,4.029
156,TRAP,4.251
157,TRAP,3.953
158,TRAP,4.532
159,TRAP,4.003
160,TRAP,4.250
161,TRAP,3.810
162,TRAP,4.260
163,TRAP,3.874
164,TRAP,4.132
165,TRAP,4.095
166,TRAP,4.245
167,TRAP,4.207
168,TRAP,4.167
169,TRAP,4.069
170,TRAP,4.451
171,TRAP,4.013
172,TRAP,4.099
173,TRAP,4.011
174,TRAP,4.121
175,TRAP,3.922
176,TRAP,4.022
177,TRAP,4.188
178,TRAP,3.992
179,TRAP,4.180
180,TRAP,3.991
