RhoA_GTP,U,condition
0.000,-1.4245,basal
0.051,-1.9551,basal
0.102,-2.3576,basal
0.153,-2.4980,basal
0.203,-2.3260,basal
0.254,-1.9043,basal
0.305,-1.3739,basal
0.356,-0.8821,basal
0.407,-0.5247,basal
0.458,-0.3318,basal
0.508,-0.2911,basal
0.559,-0.3777,basal
0.610,-0.5713,basal
0.661,-0.8561,basal
0.712,-1.2116,basal
0.763,-1.6042,basal
0.814,-1.9843,basal
0.864,-2.2933,basal
0.915,-2.4765,basal
0.966,-2.4981,basal
1.017,-2.3521,basal
1.068,-2.0642,basal
1.119,-1.6838,basal
1.169,-1.2696,basal
1.220,-0.8748,basal
1.271,-0.5361,basal
1.322,-0.2707,basal
1.373,-0.0787,basal
1.424,0.0506,basal
1.475,0.1318,basal
1.525,0.1780,basal
1.576,0.1977,basal
1.627,0.1939,basal
1.678,0.1639,basal
1.729,0.1005,basal
1.780,-0.0065,basal
1.831,-0.1672,basal
1.881,-0.3888,basal
1.932,-0.6710,basal
1.983,-1.0029,basal
2.034,-1.3609,basal
2.085,-1.7099,basal
2.136,-2.0080,basal
2.186,-2.2136,basal
2.237,-2.2950,basal
2.288,-2.2370,basal
2.339,-2.0446,basal
2.390,-1.7422,basal
2.441,-1.3675,basal
2.492,-0.9632,basal
2.542,-0.5687,basal
2.593,-0.2138,basal
2.644,0.0846,basal
2.695,0.3211,basal
2.746,0.5000,basal
2.797,0.6308,basal
2.847,0.7250,basal
2.898,0.7938,basal
2.949,0.8461,basal
3.000,0.8885,basal
0.000,-1.2536,ROCKi
0.051,-1.7205,ROCKi
0.102,-2.0747,ROCKi
0.153,-2.1983,ROCKi
0.203,-2.0473,ROCKi
0.254,-1.6773,ROCKi
0.305,-1.2133,ROCKi
0.356,-0.7869,ROCKi
0.407,-0.4850,ROCKi
0.458,-0.3390,ROCKi
0.508,-0.3439,ROCKi
0.559,-0.4845,ROCKi
0.610,-0.7486,ROCKi
0.661,-1.1245,ROCKi
0.712,-1.5899,ROCKi
0.763,-2.1028,ROCKi
0.814,-2.5994,ROCKi
0.864,-3.0037,ROCKi
0.915,-3.2446,ROCKi
0.966,-3.2755,ROCKi
1.017,-3.0888,ROCKi
1.068,-2.7177,ROCKi
1.119,-2.2265,ROCKi
1.169,-1.6915,ROCKi
1.220,-1.1818,ROCKi
1.271,-0.7453,ROCKi
1.322,-0.4042,ROCKi
1.373,-0.1584,ROCKi
1.424,0.0061,ROCKi
1.475,0.1085,ROCKi
1.525,0.1666,ROCKi
1.576,0.1925,ROCKi
1.627,0.1917,ROCKi
1.678,0.1630,ROCKi
1.729,0.1001,ROCKi
1.780,-0.0066,ROCKi
1.831,-0.1672,ROCKi
1.881,-0.3888,ROCKi
1.932,-0.6710,ROCKi
1.983,-1.0029,ROCKi
2.034,-1.3609,ROCKi
2.085,-1.7099,ROCKi
2.136,-2.0080,ROCKi
2.186,-2.2136,ROCKi
2.237,-2.2950,ROCKi
2.288,-2.2370,ROCKi
2.339,-2.0446,ROCKi
2.390,-1.7422,ROCKi
2.441,-1.3675,ROCKi
2.492,-0.9632,ROCKi
2.542,-0.5687,ROCKi
2.593,-0.2138,ROCKi
2.644,0.0846,ROCKi
2.695,0.3211,ROCKi
2.746,0.5000,ROCKi
2.797,0.6308,ROCKi
2.847,0.7250,ROCKi
2.898,0.7938,ROCKi
2.949,0.8461,ROCKi
3.000,0.8885,ROCKi
0.000,-1.4245,SRCi
0.051,-1.9551,SRCi
0.102,-2.3576,SRCi
0.153,-2.4980,SRCi
0.203,-2.3260,SRCi
0.254,-1.9043,SRCi
0.305,-1.3739,SRCi
0.356,-0.8821,SRCi
0.407,-0.5247,SRCi
0.458,-0.3318,SRCi
0.508,-0.2911,SRCi
0.559,-0.3777,SRCi
0.610,-0.5713,SRCi
0.661,-0.8561,SRCi
0.712,-1.2116,SRCi
0.763,-1.6042,SRCi
0.814,-1.9843,SRCi
0.864,-2.2933,SRCi
0.915,-2.4765,SRCi
0.966,-2.4981,SRCi
1.017,-2.3521,SRCi
1.068,-2.0642,SRCi
1.119,-1.6838,SRCi
1.169,-1.2696,SRCi
1.220,-0.8747,SRCi
1.271,-0.5360,SRCi
1.322,-0.2705,SRCi
1.373,-0.0781,SRCi
1.424,0.0520,SRCi
1.475,0.1348,SRCi
1.525,0.1843,SRCi
1.576,0.2104,SRCi
1.627,0.2180,SRCi
1.678,0.2075,SRCi
1.729,0.1754,SRCi
1.780,0.1162,SRCi
1.831,0.0236,SRCi
1.881,-0.1065,SRCi
1.932,-0.2741,SRCi
1.983,-0.4724,SRCi
2.034,-0.6866,SRCi
2.085,-0.8950,SRCi
2.136,-1.0716,SRCi
2.186,-1.1908,SRCi
2.237,-1.2327,SRCi
2.288,-1.1880,SRCi
2.339,-1.0597,SRCi
2.390,-0.8631,SRCi
2.441,-0.6215,SRCi
2.492,-0.3613,SRCi
2.542,-0.1070,SRCi
2.593,0.1230,SRCi
2.644,0.3181,SRCi
2.695,0.4751,SRCi
2.746,0.5965,SRCi
2.797,0.6883,SRCi
2.847,0.7576,SRCi
2.898,0.8114,SRCi
2.949,0.8551,SRCi
3.000,0.8929,SRCi
